葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
盛世夏都橡木桶窖藏西拉干红葡萄酒,1153,"Shengshi Xiadu Abloom Barrel Aged Syrah, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('西拉',)",,该酒呈深宝石红色，酒香浓郁复杂，富含果香、辛香及杏仁等混合香气。经橡木桶陈酿的单宁如丝般在口中慢慢融化，口感醇厚协调，余味悠长。
盛世夏都干白葡萄酒,734,"Shengshi Xiadu Abloom Dry White, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",,采用先进工艺精心酿制而成，酒体颜色呈禾杆黄色，澄清有光泽；具有微酸爽口怡悦的特色，口感柔和。最佳饮用温度10—14℃。
盛世夏都红唇印象桃红葡萄酒,1072,"Shengshi Xiadu Abloom Hongchun Yinxiang, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,"('汉堡麝香',)",,这款酒带有丰富的樱桃香和花香，口感圆润、柔顺。
盛世夏都西拉干红葡萄酒,1294,"Shengshi Xiadu Abloom Syrah, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('西拉',)",黑莓香料,这款酒带有成熟的黑莓、黑樱桃和淡淡的香料味，口感圆润饱满，酸度适中，非常平衡。
盛世夏都堡易干红葡萄酒,903,"Shengshi Xiadu Baoyi Abloom Cabernet Sauvignon, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",黑樱桃、醋栗,这款酒非常易饮，果香充沛，带有明显的红樱桃、醋栗等香气，单宁柔和。
盛世夏都VIP赤霞珠干红葡萄酒,1500,"Shengshi Xiadu Abloom VIP Cabernet Sauvignon, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",红樱桃、烘烤橡木桶,这款葡萄酒容量为5L，呈红宝石色，橡木香味明显，单宁细致柔和，口感圆润平衡，后味悠长。
盛世夏都橡木桶窖藏莎当妮干白葡萄酒,841,"Shengshi Xiadu Abloom Barrel Aged Chardonnay, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",,酒体呈禾杆黄色，澄清透亮，有光泽；具有橡木桶带来的精致的巧克力香气，酒香和果香完美融合，酒体饱满，口感柔和，后味悠长。
盛世夏都干白葡萄酒,609,"Shengshi Xiadu Abloom Dry White Wine, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,(),,采用先进工艺精心酿制而成，酒体颜色呈禾杆黄色，澄清有光泽；具有微酸爽口怡悦的特色，口感柔和。最佳饮用温度10—14℃。
盛世夏都经典桃红葡萄酒,939,"Shengshi Xiadu Abloom Rose, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,该酒呈浅玫瑰红色，透亮有光泽，香气浓郁，口感清新。
盛世夏都贵人香干白葡萄酒,746,"Shengshi Xiadu Abloom Italian Riesling Dry White Wine, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('意大利雷司令',)",,这款酒为干型，散发着大量柑橘类水果香气，香气清新自然，口感柔顺。
盛世夏都玫瑰香半干白葡萄酒,1101,"Shengshi Xiadu Abloom Muscat Hamburg Demi Dry, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('汉堡麝香',)",白花柠檬青苹果,这款葡萄酒表现出充沛的花香和果香，以白花和柑橘类水果为主，口感细腻、优雅，有淡淡的甜味。
盛世夏都金标赤霞珠干红葡萄酒,1170,"Shengshi Xiadu Abloom Cabernet Sauvignon, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",黑樱桃红樱桃李子,该酒呈宝石红色，透亮有光泽，具有赤霞珠的显著特点，带有芬芳的黑樱桃、红樱桃、李子等香气，酒体丰满，口感柔顺。
盛世夏都金标霞多丽干白葡萄酒,577,"Shengshi Xiadu Abloom Chardonnay, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",,该酒呈浅禾秆黄色，晶莹透亮，有光泽，香气怡人，呈现出迷人的绿色水果香气，入口干净、柔顺。
盛世夏都概念桃红葡萄酒,742,"Shengshi Xiadu Abloom Rose Cabernet Sauvignon, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",黑樱桃红樱桃草莓,该款酒为纪念夏都公司成立十周年特酿，限量1000瓶。以昌黎出产的赤霞珠葡萄为原料，经低温复式发酵精心酿造。酒体呈玫瑰红色，澄清透亮；果香悦人，酒香优雅和谐，回味绵长。
盛世夏都5钻桃红葡萄酒,520,"Shengshi Xiadu Abloom Five Diamond Rose, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,该酒呈亮丽的玫瑰红色，澄清透亮；果香浓郁，酒香怡人；口感清爽，余味持久。
盛世夏都简爱视觉桃红葡萄酒,821,"Shengshi Xiadu Jian Ai Shi Jue, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,酒体呈浅玫瑰红色，澄清有光泽，隐约的甜味与原有的酸味巧妙的平衡，口感柔顺，饮后舒爽。
盛世夏都霞多丽干白葡萄酒,588,"Shengshi Xiadu Abloom Chardonnay Dry White Wine, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",柑橘、青苹果、黄桃,该酒呈浅禾秆黄色，澄清有光泽，口感清新，香气浓郁，富有层次感。
盛世夏都橡木桶窖藏赤霞珠干红葡萄酒,795,"Shengshi Xiadu Abloom Barrel Aged Cabernet Sauvignon, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,该酒呈深宝石红色，富有光泽，特有的阳光和土壤带给葡萄酒鲜明的性格，天鹅绒般的口感和在口中散开的葡萄酒香，配以橡木桶带来的巧克力香气，回味无穷。
盛世夏都蝴蝶兰桃红葡萄酒,979,"Shengshi Xiadu Abloom Hudielan Rose, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,(),,酒体呈浅玫瑰红色，澄清透亮；浆果香气丰富；具有草莓的清甜和爽口的酸度，甜酸平衡，恰到好处，略带新鲜柠檬的味道，柔和顺口。是不可多得的佳酿。
盛世夏都冰爽桃红葡萄酒,1039,"Shengshi Xiadu Abloom Cool Rose, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,(),,酒体呈玫瑰红色，澄清透亮；草莓和树莓的果香沁人心脾；酒味生动简洁非常易于接受，适当的甜度更突出清爽且富有活力的特色。
盛世夏都贵妃红桃红葡萄酒,1402,"Shengshi Xiadu Abloom Guifeihong Rose, Changli, China",桃红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,酒体呈玫瑰红色，澄清透亮，有光泽；散发出糖渍水果的淡淡幽香。
盛世夏都5钻霞多丽干白葡萄酒,615,"Shengshi Xiadu Abloom Five Diamond Chardonnay, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",,酒体淡黄色中透着绿色，透亮有光泽；具有新鲜桃子、柠檬等瓜果的香气；酒体丰满，口感清爽，余味持久。
夏都菲诺赤霞珠干红葡萄酒,4222,"Xiadu Fino Cabernet Sauvignon Dry Red Wine, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,该酒呈宝石红色，具有浓郁的果香和优雅的醇香，入口圆润丰满，口感醇厚，富有层次感。
盛世夏都菲诺霞多丽干白葡萄酒,612,"Shengshi Xiadu Fino Chardonnay, Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",,该酒呈浅禾秆黄色，澄清有光泽，香气怡人，口感清新，香气富有层次。
盛世夏都堡易干白葡萄酒,603,"Shengshi Xiadu Baoyi Abloom , Changli, China",白葡萄酒,河北夏都葡萄酿酒有限公司,"('霞多丽',)",,酒体黄色中透着绿色。澄清透亮；具有浓郁的新鲜桃子香气，果味多样，富于变化，令人感到新奇，口感柔和，酒体完整。适合搭配生蚝、扇贝和新鲜虾类菜肴。
盛世夏都5钻赤霞珠干红葡萄酒,860,"Shengshi Xiadu Abloom Five Diamond Cabernet Sauvignon, Changli, China",红葡萄酒,河北夏都葡萄酿酒有限公司,"('赤霞珠',)",,该酒呈宝石红色，澄清有光泽，果香优雅，酒香醇厚，丹宁细腻柔滑，结构感强，回味悠长。
坤爵庄园珍藏赤霞珠干红葡萄酒,2613,"Kun Jue Manor Reserve Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",黑醋栗蓝莓,该款葡萄酒色泽为美丽的深宝石红色，果香怡人，口感如丝般柔顺，富有层次感，酒香醇厚，酒体细腻精致，均衡圆润，回味无穷。葡萄酒中自然怡人的果香，总让人感觉意犹未尽。
坤爵庄园高级赤霞珠干红葡萄酒,1637,"Kun Jue Manor Senior Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",覆盆子蓝莓,该款葡萄酒经独特工艺控温发酵，在窖中通过细纹中度烘烤法国小橡木桶陈酿而成。此酒的酒体呈深宝石红色，清澈明亮，酒体深厚结实，果香酒香与橡木的香气浓郁、层次感丰富，单宁细腻，回味悠长。
坤爵庄园梅洛桃红葡萄酒,1133,"Kun Jue Manor Merlot Rose, Shacheng, China",桃红葡萄酒,贵族庄园,"('梅洛',)",红色水果白花,该酒散发新鲜水果的诱人香气，酒体爽净，果香，甜味，酸度，交织平衡。该酒在适宜在温度5-8℃时饮用，精美凉爽的口感使人顿觉舒畅，余香清新明快，久久不散。
坤爵梅洛半甜桃红葡萄酒,1095,"Kun Jue Merlot Semi-Sweet Rose, Shacheng, China",桃红葡萄酒,贵族庄园,"('梅洛',)",草莓樱桃,该酒散发新鲜水果的诱人香气，果香，甜味，酸度，交织平衡，色泽靓丽，具有桃花般的鲜艳色彩，香气怡人，口感婉约细腻。该酒适宜在温度8-12℃时饮用，精美凉爽的口感使人顿觉舒畅，余香清新明快，久久不散。
坤爵庄园至尊梅洛桃红葡萄酒,809,"Kun Jue Manor Grand Merlot Rose, Shacheng, China",桃红葡萄酒,贵族庄园,"('梅洛',)",红色水果白花,该酒散发新鲜水果的诱人香气，酒体爽净且丰满圆润，果香，甜味，酸度，交织平衡。该酒适宜在温度5-8℃时饮用，精美凉爽的口感使人顿觉舒畅，余香清新明快，久久不散。
坤爵优选赤霞珠干红葡萄酒,844,"Kun Jue Optimal Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",蓝莓香草烘烤,这款葡萄酒晶莹清澈，呈明亮的深宝石红色，果香酒香浓郁，酒体平衡柔顺，口感圆润。此酒的适饮温度为15-18℃，饮用时醒酒片刻，香气会更持久。
坤爵特选赤霞珠干红葡萄酒,1748,"Kun Jue Special Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",黑醋栗覆盆子,该款葡萄酒经独特工艺控温发酵，在酒窖中通过法国细纹中度烘烤小橡木桶陈酿而成。此款酒晶莹清澈，呈深宝石红色，果香酒香浓郁芬芳，酒体丰满圆润，单宁细腻柔顺。
坤爵庄园窖藏赤霞珠干红葡萄酒,1975,"Kun Jue Manor Cellar Reserve Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",蓝莓甘草橡木,此酒的高贵源于漫长而细致的酿造方式。该款葡萄酒经低温浸渍、橡木桶苹果酸、乳发酵和陈酿后，才装入瓶中，装瓶后又置于幽暗恒温恒湿的酒窖沙贮存放。经过静态长期瓶贮，葡萄酒逐渐融入初春之柔美，盛夏之绚丽，秋凉之爽静，冬寒之醇厚，缓慢而耐心的过程造就了此酒高雅的品味。
坤爵庄园典藏赤霞珠干红葡萄酒,1157,"Kun Jue Manor Classic Reserve Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",黑醋栗黑樱桃香草,该款葡萄酒色泽为美丽的深宝石红色，香气典雅纯正，酒体丰满浓厚，口感圆润柔顺，具有浓厚的地域风情特点及淳朴的天然风格。该酒的适饮温度为15-18℃，饮用时醒酒片刻，香气会更持久。
坤爵庄园珍品梅洛桃红葡萄酒,1285,"Kun Jue Manor Fine Merlot Rose, Shacheng, China",桃红葡萄酒,贵族庄园,"('梅洛',)",红色水果,该酒散发新鲜水果的诱人香气，酒体清新爽净，果香，甜味，酸度，交织平衡。该酒适宜在温度5-8℃时饮用，精美凉爽的口感使人顿觉舒畅，余香清新明快，久久不散。
坤爵庄园特级赤霞珠干红葡萄酒,696,"Kun Jue Manor Premium Cabernet Sauvignon, Shacheng, China",红葡萄酒,贵族庄园,"('赤霞珠',)",覆盆子黑加仑,此款葡萄酒晶莹清澈，呈深宝石红色，果香和酒香结合橡木的香气浓郁芬芳，酒体深厚丰满，富有层次感，口感圆润，单宁细腻柔顺，回味悠长。
容辰庄园国宴霞多丽干白葡萄酒,1718,"Rongchen Vineyard State Banquet Chardonnay, Shacheng, China",白葡萄酒,容辰庄园,"('霞多丽',)",柑橘白桃,这款葡萄酒以容辰庄园葡萄园种植的霞多丽葡萄，低温酿制而成，经橡木桶陈酿，具有沙城产区霞多丽优质葡萄酒的特性。该酒酒体呈浅黄色，晶莹剔透，果香浓郁，口感清爽、平衡、协调，是沙城产区优质的年份酒。
容辰庄园四星干红葡萄酒,1385,"Rongchen Vineyard 4-Star Dry Red, Shacheng, China",红葡萄酒,容辰庄园,"('梅洛', '赤霞珠')",草莓樱桃醋栗,这款葡萄酒以容辰庄园葡萄园种植的赤霞珠和梅洛葡萄为原料，经人工多层次挑选后酿制而成，经橡木桶陈酿，酒体呈深宝石红色，果香浓郁，香气复合优雅，口感圆润，丰满醇厚。
容辰庄园钻石赤霞珠干红葡萄酒,1527,"Rongchen Vineyard Diamond Cabernet Sauvignon, Shacheng, China",红葡萄酒,容辰庄园,"('赤霞珠',)",橡木榛子丁子香香子兰,这款葡萄酒以容辰庄园葡萄园特级地块种植的赤霞珠葡萄，经人工逐粒精选后酿制而成。该酒酒体深宝石红色，酒香馥郁，有独特的橡木、榛子、丁子香、香子兰香味，酒体丰满醇厚，结构感强，回味优雅绵长，是不可多得的极品庄园葡萄酒。
容辰庄园国宴纪念版赤霞珠干红葡萄酒,1309,"Rongchen Vineyard State Banquet Memory Version Cabernet Sauvignon, Shacheng, China",红葡萄酒,容辰庄园,"('赤霞珠',)",李子覆盆子香子兰,这是一款为纪念北京2008奥运会限量生产的高档庄园酒；经橡木桶陈酿，酒体深宝石红色，有浓郁的李子、覆盆子、香子兰香气，酒体丰满、圆润、富有层次感，为庄园葡萄酒之精品。
容辰庄园国宴赤霞珠干红葡萄酒,1103,"Rongchen Vineyard State Banquet Cabernet Sauvignon, Shacheng, China",红葡萄酒,容辰庄园,"('赤霞珠',)",丰满柔顺,该款葡萄酒以容辰庄园葡萄园种植的赤霞珠葡萄，经人工多层次挑选后酿制而成，经橡木桶陈酿。该酒酒体呈深宝石红色，香气复合优雅、果香浓郁，酒体丰满柔顺，为庄园葡萄酒之精品。
容辰庄园珍藏赤霞珠干红葡萄酒,1258,"Rongchen Vineyard Reserve Cabernet Sauvignon, Shacheng, China",红葡萄酒,容辰庄园,"('赤霞珠',)",黑樱桃黑莓丁香肉桂,这款葡萄酒以容辰庄园葡萄园种植的赤霞珠葡萄为原料，经人工多层次挑选后酿制而成；具有沙城产区赤霞珠优质葡萄酒的特性。该酒酒体呈宝石红色，香气浓郁，口感圆润，回味悠长。
容辰庄园五星干红葡萄酒,1552,"Rongchen Vineyard 5-Star Dry Red, Shacheng, China",红葡萄酒,容辰庄园,"('梅洛', '赤霞珠')",烘烤巧克力李子黑莓,该款葡萄酒以容辰庄园葡萄园特级地块种植的赤霞珠和梅洛葡萄为原料，经人工多层次精选后酿制而成。该酒酒体呈深宝石红色，香气复合优雅，有独特的橡木、成熟李子、黑莓香味，口感丰满醇厚，是庄园酒中的珍品。
容辰庄园三星干红葡萄酒,852,"Rongchen Vineyard 3-Star Dry Red, Shacheng, China",红葡萄酒,容辰庄园,"('梅洛', '赤霞珠')",樱桃李子,这款葡萄酒以容辰庄园葡萄园种植的赤霞珠和梅洛葡萄为原料，经人工多层次挑选后酿制而成，具有沙城产区优质葡萄酒的特性。该酒酒体呈宝石红色，香气浓郁，口感圆润。
容辰庄园珍藏霞多丽干白葡萄酒,972,"Rongchen Vineyard Reserve Chardonnay, Shacheng, China",白葡萄酒,容辰庄园,"('霞多丽',)",菠萝白桃柑橘,先进的工艺和设备以及酿酒师丰富的酿制经验，保证了这款葡萄酒有着晶莹的酒体，酒体透亮，呈优雅的禾杆黄色。该酒果香清新柔顺，口感和谐，香气纯正，极具霞多丽品种的典型性，伴有热带水果的清爽口感。
昌黎长城庄园92至尊赤霞珠干红葡萄酒,2016,"Changli Greatwall Manor 92 Superior Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑醋栗蓝莓烘烤咖啡,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的赤霞珠干红葡萄酒，适宜搭配牛羊肉等菜肴。
昌黎长城庄园98特酿蛇龙珠干红葡萄酒,1008,"Changli Greatwall Manor 98 Special Cabernet Gernischt, Changli, China",红葡萄酒,昌黎长城庄园,"('蛇龙珠',)",成熟浆果香草香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄蛇龙珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红，具有蛇龙珠葡萄独有的典型果香，其浓郁的果香与醇厚的酒香及优雅的橡木香平衡和谐，香气复杂幽雅，单宁细腻柔和，口感醇厚，酒体丰满，余韵悠长。
昌黎长城庄园92赤霞珠干红葡萄酒,1162,"Changli Greatwall Manor 92 Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",成熟水果香草矿物质,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格，是不可多得的红酒佳品。
昌黎长城庄园五星A区经典赤霞珠干红葡萄酒,1136,"Changli Greatwall Manor 5-Star A District Classic Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",成熟水果矿物质,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格，是不可多得的红酒佳品。
昌黎长城庄园12年窖藏赤霞珠干红葡萄酒,710,"Changli Greatwall Manor 12-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",香草咖啡烘烤,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏10年以上。该酒呈深宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格，乃葡萄干红酒之精品。
昌黎长城庄园五星赤霞珠干红葡萄酒,699,"Changli Greatwall Manor 5-Star Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑樱桃黑醋栗青椒,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，
昌黎长城庄园92蓝经典橡木桶干红葡萄酒,721,"Changli Greatwall Manor 92 Blue Version Classic Oak Barreled Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,"('卡本内',)",黑醋栗覆盆子樱桃烟熏,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的赤霞珠干红葡萄酒，极具收藏价值。
昌黎长城庄园葡园E区赤霞珠干红葡萄酒,710,"Changli Greatwall Manor E District Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷E区名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏。该酒呈深宝石红色，具有芬芳果香和醇厚的酒香，口味丰满柔顺，余味悠长，是不可多得的红酒佳酿。
昌黎长城庄园95橡木桶干红葡萄酒,1228,"Changli Greatwall Manor 95 Oak Barreled Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,"('卡本内',)",黑醋栗覆盆子樱桃烟熏,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的赤霞珠干红葡萄酒。
昌黎长城庄园94典藏赤霞珠干红葡萄酒,609,"Changli Greatwall Manor 94 Classic Reserve Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑醋栗蓝莓烘烤咖啡,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的赤霞珠干红葡萄酒，极具收藏价值。
昌黎长城庄园94珍藏赤霞珠干红葡萄酒,651,"Changli Greatwall Manor 94 Reserve Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",覆盆子樱桃甘草,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈晶莹的宝石红，带有覆盆子和樱桃等果香和橡木香，单宁充分，具有挥之不去的余味。
昌黎长城庄园八年窖藏梅鹿辄干红葡萄酒,625,"Changli Greatwall Manor 8-Year Cellar Aged Merlot, Changli, China",红葡萄酒,昌黎长城庄园,"('梅洛',)",蓝莓桑椹,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏8年以上。该酒呈美妙的宝石红色，酒液清澈，闻之富含幽雅芬芳的果香，如蓝莓、桑椹等，酒体协调厚，余味无穷。
昌黎长城庄园私家珍藏黑比诺干红葡萄酒,828,"Changli Greatwall Manor Private Reserve Pinot Noir, Changli, China",红葡萄酒,昌黎长城庄园,"('黑皮诺',)",覆盆子樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制而成。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的黑皮诺干红葡萄酒，极具收藏价值。
昌黎长城庄园世纪盛典赤霞珠干红葡萄酒,920,"Changli Greatwall Manor Century Ceremony Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑醋栗蓝莓香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，具有浓郁的水果香气，入口细腻、醇厚丰满，适宜搭配牛肉和羊肉等菜肴。
昌黎长城庄园陈酿赤霞珠干红葡萄酒,699,"Changli Greatwall Manor Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",成熟水果香草咖啡,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制而成。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格。
昌黎长城庄园十年陈酿赤霞珠干红葡萄酒,424,"Changli Greatwall Manor 10-Year Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",香草咖啡烘烤,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏10年以上。该酒呈深宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格，乃干红葡萄酒之精品。
昌黎长城庄园92红经典橡木桶干红葡萄酒,951,"Changli Greatwall Manor 92 Red Version Classic Oak Barreled Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,"('卡本内',)",黑醋栗覆盆子樱桃烟熏,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的赤霞珠干红葡萄酒，极具收藏价值。
昌黎长城庄园95蛇龙珠干红葡萄酒,935,"Changli Greatwall Manor 95 Cabernet Gernischt, Changli, China",红葡萄酒,昌黎长城庄园,"('蛇龙珠',)",成熟浆果香草,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄蛇龙珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈深宝石红，具有蛇龙珠葡萄独有的典型果香，香气复杂幽雅，单宁细腻柔和，口感醇厚，酒体丰满，余味绵延。
昌黎长城庄园十五年窖藏赤霞珠干红葡萄酒,597,"Changli Greatwall Manor 15-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",蓝莓咖啡烘烤矿物,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制，经橡木桶窖藏及瓶贮15年。该酒呈深宝石红色，具有浓郁的品种香气，入口细腻、醇厚丰满，是典型的赤霞珠干红葡萄酒，极具收藏价值。
昌黎长城庄园三年窖藏赤霞珠干红葡萄酒,756,"Changli Greatwall Manor 3-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑醋栗蓝莓香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制而成。该酒呈宝石红色，澄清透明，具有幽雅、芬芳的果香和谐调、醇厚的酒香，饮后适口，余味十足。
